 200.000000000000000  # amax
 2000    # na
 200.000000000000000    # bmax
 2000      # nb
 20.0000000000000000    # Dmax
 100     # nD 
 400  # ndelta
 -0.253607883749507893E-04 9.29292929346464724 0.751879797744360936E-02
 -0.222887204325063361E-04 9.49494949547474754 0.751879797744360936E-02
 -0.196431045141360793E-04 9.69696969748484783 0.751879797744360936E-02
 -0.173572987615052508E-04 9.89898989949494990 0.751879797744360936E-02
 -0.153762323860735460E-04 10.1010101015050502 0.751879797744360936E-02
 -0.136542011076570608E-04 10.3030303035151523 0.751879797744360936E-02
 -0.121531163035264040E-04 10.5050505055252525 0.751879797744360936E-02
 -0.108411090674333652E-04 10.7070707075353528 0.751879797744360936E-02
 -0.969141258037770679E-05 10.9090909095454549 0.751879797744360936E-02
 -0.868146339139855493E-05 11.1111111115555552 0.751879797744360936E-02
 -0.779217549318186353E-05 11.3131313135656573 0.751879797744360936E-02
 -0.700735132745921147E-05 11.5151515155757576 0.751879797744360936E-02
 -0.631320175815640441E-05 11.7171717175858596 0.751879797744360936E-02
 -0.569795314503300304E-05 11.9191919195959599 0.751879797744360936E-02
 -0.515152435574693745E-05 12.1212121216060602 0.751879797744360936E-02
 -0.466526019324099946E-05 12.3232323236161623 0.751879797744360936E-02
 -0.423171053669635909E-05 12.5252525256262626 0.751879797744360936E-02
 -0.384444668855150479E-05 12.7272727276363646 0.751879797744360936E-02
 -0.349790813287512804E-05 12.9292929296464649 0.751879797744360936E-02
 -0.318727425284104204E-05 13.1313131316565652 0.751879797744360936E-02
 -0.290835661195100774E-05 13.3333333336666673 0.751879797744360936E-02
 -0.265750823963307274E-05 13.5353535356767676 0.751879797744360936E-02
 -0.243154702628236949E-05 13.7373737376868696 0.751879797744360936E-02
 -0.222769086347140292E-05 13.9393939396969699 0.751879797744360936E-02
 -0.204350259090288956E-05 14.1414141417070702 0.751879797744360936E-02
 -0.187684315500339800E-05 14.3434343437171723 0.751879797744360936E-02
 -0.172583166208033868E-05 14.5454545457272726 0.751879797744360936E-02
 -0.158881123505814916E-05 14.7474747477373747 0.751879797744360936E-02
 -0.146431976739293745E-05 14.9494949497474749 0.751879797744360936E-02
 -0.135106481901452178E-05 15.1515151517575752 0.751879797744360936E-02
 -0.124790202350093293E-05 15.3535353537676773 0.751879797744360936E-02
 -0.115381647825576999E-05 15.5555555557777776 0.751879797744360936E-02
 -0.106790667429978300E-05 15.7575757577878797 0.751879797744360936E-02
 -0.989370592657884827E-06 15.9595959597979800 0.751879797744360936E-02
 -0.917493652837715537E-06 16.1616161618080802 0.751879797744360936E-02
 -0.851638247670170206E-06 16.3636363638181805 0.751879797744360936E-02
 -0.791234639529637544E-06 16.5656565658282844 0.751879797744360936E-02
 -0.735773027067173735E-06 16.7676767678383847 0.751879797744360936E-02
 -0.684796620213175653E-06 16.9696969698484850 0.751879797744360936E-02
 -0.637895585269825244E-06 17.1717171718585853 0.751879797744360936E-02
 -0.594701742185070946E-06 17.3737373738686856 0.751879797744360936E-02
 -0.554883913209256482E-06 17.5757575758787894 0.751879797744360936E-02
 -0.518143836604416716E-06 17.7777777778888897 0.751879797744360936E-02
 -0.484212571334738873E-06 17.9797979798989900 0.751879797744360936E-02
 -0.452847329072323730E-06 18.1818181819090903 0.751879797744360936E-02
 -0.423828678700974847E-06 18.3838383839191906 0.751879797744360936E-02
 -0.396958076039322113E-06 18.5858585859292944 0.751879797744360936E-02
 -0.372055677938217896E-06 18.7878787879393947 0.751879797744360936E-02
